player_name,player_type,match_format,avg,sr,last5_runs,high_score,wickets,econ,bowl_avg,catches,stumpings,matches,runs,total_balls_faced,balls_per_innings,score,cluster,levels,percent,percentile_score
A Kheterpal,Bowler,T20,17.357142857142858,123.3502538071066,88.0,42.0,8.0,6.933571428571428,7.392857142857143,3.0,0.0,14.0,243.0,197.0,14.071428571428571,50.763571428571424,2,1,50.763571428571424,52.80898876404494
A Kirschbaum,Bowler,T20,10.954545454545455,89.59107806691449,52.0,35.0,25.0,5.990833333333334,9.083333333333334,9.0,0.0,24.0,241.0,269.0,12.227272727272727,86.5775,2,1,86.5775,82.9417773237998
A Krishna,Bowler,T20,4.25,103.03030303030303,29.0,21.0,18.0,9.675,12.321428571428571,0.0,0.0,14.0,34.0,33.0,4.125,59.582142857142856,2,1,59.582142857142856,64.40245148110316
A Kumble,Bowler,ODI,6.75,42.51968503937008,6.0,24.0,28.0,4.667500000000001,15.13107142857143,4.0,0.0,28.0,108.0,254.0,15.875,92.91885714285715,1,0,92.91885714285715,72.13389121338912
A Kumble,Bowler,Test,23.5,40.152877697841724,79.0,118.0,191.0,3.0246341463414637,35.90536585365854,7.0,0.0,41.0,893.0,2224.0,58.526315789473685,411.3828780487805,2,1,411.3828780487805,94.76923076923077
A Kuthalingham,Batsman,T20,18.5,94.87179487179486,37.0,24.0,1.0,3.0,6.0,0.0,0.0,3.0,37.0,39.0,19.5,32.70529914529914,2,1,32.70529914529914,58.750574184657786
A Langham,Batsman,T20,14.333333333333334,110.25641025641026,43.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,39.0,13.0,33.97162393162393,2,1,33.97162393162393,61.32292145153882
A Lazic,Batsman,T20,2.0,100.0,2.0,2.0,0.0,5.333333333333333,0.0,3.0,0.0,3.0,2.0,2.0,2.0,18.293333333333333,1,0,18.293333333333333,33.8768948093707
A Limdawala,Batsman,T20,18.12,95.16806722689076,82.0,68.0,12.0,5.7092857142857145,4.723214285714286,10.0,0.0,28.0,453.0,476.0,19.04,39.03467787114846,2,1,39.03467787114846,71.75011483693156
A Lyth,Batsman,Test,37.857142857142854,50.0945179584121,115.0,131.0,0.0,0.0,0.0,9.0,0.0,8.0,265.0,529.0,75.57142857142857,51.520514897830594,0,2,51.520514897830594,52.38095238095239
A Magdalenic,Batsman,T20,2.8,35.8974358974359,17.0,14.0,0.0,2.522727272727273,0.0,2.0,0.0,11.0,28.0,78.0,7.8,10.142905982905983,1,0,10.142905982905983,21.589343132751495
A Maheshwari,Batsman,T20,3.857142857142857,50.943396226415096,18.0,16.0,3.0,7.0633333333333335,7.222222222222222,3.0,0.0,9.0,27.0,53.0,7.571428571428571,13.568661275831086,1,0,13.568661275831086,27.285254937988057
A Manepalli,Batsman,T20,18.0,112.5,111.0,57.0,0.0,0.0,0.0,10.0,0.0,9.0,144.0,128.0,16.0,43.43,2,1,43.43,79.42122186495176
A Manousis,Wicketkeeper,T20,6.5,121.875,39.0,17.0,2.0,3.861666666666667,5.166666666666667,0.0,2.0,6.0,39.0,32.0,5.333333333333333,32.75000000000001,2,1,32.75000000000001,27.86885245901639
A Mansale,Batsman,T20,22.88,117.21311475409837,133.0,82.0,6.0,1.8536000000000001,1.2731999999999999,14.0,0.0,25.0,572.0,488.0,19.52,50.89551912568306,2,1,50.89551912568306,89.25126320624713
A Maregwede,Batsman,ODI,13.5,60.33519553072626,53.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,108.0,179.0,22.375,25.762532588454377,2,1,25.762532588454377,43.14903846153847
A Martel,Bowler,T20,9.222222222222221,115.27777777777777,23.0,23.0,13.0,6.221176470588236,7.7158823529411755,3.0,0.0,17.0,83.0,72.0,8.0,62.706941176470586,2,1,62.706941176470586,67.31358529111337
A Martin,Batsman,ODI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,12.920673076923078
A Martin,Bowler,ODI,2.0,34.48275862068966,4.0,4.0,11.0,4.2122222222222225,17.22222222222222,3.0,0.0,9.0,10.0,29.0,5.8,59.03,1,0,59.03,54.39330543933054
A Martin,Bowler,T20,0.0,0.0,0.0,0.0,1.0,6.67,20.0,2.0,0.0,1.0,0.0,0.0,0.0,29.990000000000002,1,0,29.990000000000002,12.027579162410623
A McAuley,Batsman,T20,14.666666666666666,88.70967741935483,22.0,45.0,0.0,0.0,0.0,2.0,0.0,15.0,220.0,248.0,16.533333333333335,29.322724014336913,2,1,29.322724014336913,52.916858061552595
A McGrath,Batsman,ODI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,12.920673076923078
A McGrath,Batsman,Test,34.0,49.275362318840585,34.0,34.0,0.0,0.0,0.0,1.0,0.0,1.0,34.0,69.0,69.0,35.86589371980676,2,1,35.86589371980676,42.2077922077922
A McGrath,Bowler,ODI,14.090909090909092,46.13095238095239,38.0,52.0,3.0,2.433076923076923,6.846153846153846,2.0,0.0,13.0,155.0,336.0,30.545454545454547,54.59307692307692,1,0,54.59307692307692,48.20083682008368
A McKnight,Batsman,T20,33.5,90.54054054054053,67.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,67.0,74.0,37.0,45.450090090090086,2,1,45.450090090090086,82.31511254019293
A Mehmood,Bowler,T20,14.0,350.0,14.0,14.0,1.0,8.134,7.0,1.0,0.0,5.0,14.0,4.0,4.0,33.397999999999996,2,1,33.397999999999996,18.283963227783453
A Mene-Ejegi,Bowler,T20,11.88888888888889,157.35294117647058,33.0,32.0,10.0,6.430000000000001,7.136363636363637,3.0,0.0,11.0,107.0,68.0,7.555555555555555,56.42818181818181,2,1,56.42818181818181,60.72522982635342
A Mishra,Batsman,Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,14.393939393939394
A Mishra,Bowler,ODI,4.3,52.4390243902439,15.0,14.0,61.0,4.63875,18.7421875,4.0,0.0,32.0,43.0,82.0,8.2,156.8384375,1,0,156.8384375,85.94142259414225
A Mishra,Bowler,T20,0.0,0.0,0.0,0.0,16.0,6.4079999999999995,14.417000000000002,1.0,0.0,10.0,0.0,0.0,0.0,64.1258,1,0,64.1258,68.79468845760981
A Mishra,Bowler,Test,34.10526315789474,58.74886672710788,91.0,127.0,76.0,3.207727272727273,38.80863636363637,3.0,0.0,22.0,648.0,1103.0,58.05263157894737,179.09163636363635,0,2,179.09163636363635,84.92307692307692
A Mithun,Bowler,ODI,17.0,92.72727272727272,51.0,24.0,3.0,6.882000000000001,12.6,1.0,0.0,5.0,51.0,55.0,18.333333333333332,37.794,2,1,37.794,16.569037656903767
A Mithun,Bowler,Test,30.0,48.19277108433735,120.0,46.0,9.0,3.7824999999999998,74.125,0.0,0.0,4.0,120.0,249.0,62.25,22.177500000000002,2,1,22.177500000000002,11.846153846153847
A Modi,Batsman,T20,9.6,63.1578947368421,48.0,24.0,0.0,0.0,0.0,2.0,0.0,5.0,48.0,76.0,15.2,22.366315789473685,1,0,22.366315789473685,40.42259990813045
A Mongar,Batsman,T20,3.5,58.333333333333336,7.0,4.0,6.0,6.75,3.1,1.0,0.0,5.0,7.0,12.0,6.0,12.882222222222223,1,0,12.882222222222223,26.228755167661923
A Morris,Bowler,T20,2.5,44.776119402985074,16.0,8.0,30.0,6.4375,8.06625,2.0,0.0,24.0,30.0,67.0,5.583333333333333,95.84775,1,0,95.84775,86.05720122574056
A Mucyodusenge,Batsman,T20,1.0,14.285714285714285,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,7.0,3.340952380952381,1,0,3.340952380952381,13.73449701423978
A Mukund,Batsman,Test,45.714285714285715,45.714285714285715,235.0,93.0,0.0,1.0,0.0,6.0,0.0,7.0,320.0,700.0,100.0,63.095238095238095,0,2,63.095238095238095,65.80086580086581
A Mundra,Wicketkeeper,T20,25.8,145.76271186440678,95.0,56.0,0.0,0.0,0.0,11.0,1.0,10.0,258.0,177.0,17.7,57.591713747645954,2,1,57.591713747645954,75.73770491803279
A Mustafa,Batsman,T20,6.0,111.11111111111111,22.0,10.0,0.0,0.0,0.0,3.0,0.0,6.0,30.0,27.0,5.4,24.945185185185185,2,1,24.945185185185185,45.153881488286636
A Mutreja,Batsman,T20,17.625,133.0188679245283,12.0,77.0,0.0,0.0,0.0,6.0,0.0,9.0,141.0,106.0,13.25,40.01314465408805,2,1,40.01314465408805,73.67937528709233
A Nagarajan,Batsman,T20,13.8,89.6103896103896,62.0,28.0,3.0,8.34375,6.4375,2.0,0.0,8.0,69.0,77.0,15.4,30.961731601731604,2,1,30.961731601731604,55.67294441892513
A Nanda,Bowler,T20,4.9,94.23076923076923,5.0,21.0,19.0,8.1665,16.9085,6.0,0.0,20.0,49.0,52.0,5.2,63.3554,2,1,63.3554,68.02860061287028
A Nao,Bowler,ODI,3.6,79.41176470588235,14.0,11.0,18.0,5.184736842105263,15.513157894736842,8.0,0.0,19.0,54.0,68.0,4.533333333333333,71.13789473684211,1,0,71.13789473684211,62.00836820083681
A Nao,Bowler,T20,8.375,121.81818181818183,19.0,30.0,21.0,6.122222222222222,9.926111111111112,3.0,0.0,18.0,67.0,55.0,6.875,77.67766666666667,2,1,77.67766666666667,78.70275791624107
A Nathwani,Bowler,T20,3.5714285714285716,67.56756756756756,10.0,7.0,13.0,7.809285714285714,13.119285714285715,1.0,0.0,14.0,25.0,37.0,5.285714285714286,54.70057142857143,1,0,54.70057142857143,58.58018386108274
A Natubhai Ahir,Wicketkeeper,T20,12.85,94.13919413919413,43.0,51.0,14.0,4.871904761904761,7.928571428571429,11.0,5.0,21.0,257.0,273.0,13.65,40.153154253154256,2,1,40.153154253154256,41.967213114754095
A Ndlovu,Bowler,ODI,0.0,0.0,0.0,0.0,1.0,4.8,14.5,0.0,0.0,2.0,0.0,0.0,0.0,38.9,1,0,38.9,18.99581589958159
A Ndlovu,Bowler,T20,3.3333333333333335,76.92307692307693,8.0,5.0,2.0,9.071428571428571,5.571428571428571,1.0,0.0,7.0,10.0,13.0,4.333333333333333,33.44285714285714,1,0,33.44285714285714,18.38610827374872
